Identifiant_de_l_etablissement,Etablissement,Libellé académie,Libellé département,Libellé commune,Secteur,Candidats au DNB Série générale,Note Brute Série générale Note ecrit
0010002X,COLLEGE SAINT-EXUPERY,LYON,AIN,AMBERIEU EN BUGEY,PU,165,"10,2"
0010005A,COLLEGE ROGER POULNARD,LYON,AIN,BAGE DOMMARTIN,PU,135,"12,0"
0010008D,COLLEGE SAINT-EXUPERY,LYON,AIN,VALSERHONE,PU,125,"10,7"
0010018P,COLLEGE DU REVERMONT,LYON,AIN,BOURG EN BRESSE,PU,109,"10,2"
0010022U,COLLEGE HENRY DUNANT,LYON,AIN,CULOZ BEON,PU,78,"11,5"
0010024W,COLLEGE GEORGES CHARPAK,LYON,AIN,GEX,PU,159,"10,6"
0010025X,COLLEGE PAUL SIXDENIER,LYON,AIN,PLATEAU D HAUTEVILLE,PU,69,"10,8"
0010026Y,COLLEGE PAUL CLAUDEL,LYON,AIN,LAGNIEU,PU,164,"12,0"
0010035H,COLLEGE LOUIS LUMIERE,LYON,AIN,OYONNAX,PU,136,"9,8"
0010036J,COLLEGE ROGER VAILLAND,LYON,AIN,PONCIN,PU,81,"10,8"
0010037K,COLLEGE LOUISE DE SAVOIE,LYON,AIN,PONT D AIN,PU,134,"11,4"
0010039M,COLLEGE DE L'ALBARINE,LYON,AIN,SAINT RAMBERT EN BUGEY,PU,59,"12,2"
0010040N,COLLEGE LOUIS VUITTON,LYON,AIN,SAINT TRIVIER DE COURTES,PU,59,"10,1"
0010041P,COLLEGE VAUGELAS,LYON,AIN,MEXIMIEUX,PU,214,"11,3"
0010042R,COLLEGE BEL AIR,LYON,AIN,THOISSEY,PU,101,"10,8"
0010046V,COLLEGE DU RENON,LYON,AIN,VONNAS,PU,97,"11,1"
0010066S,COLLEGE JEAN MOULIN,LYON,AIN,SAINT DIDIER DE FORMANS,PU,177,"11,9"
0010076C,COLLEGE PRIVE SAINTE MARIE,LYON,AIN,AMBERIEU EN BUGEY,PR,107,"12,2"
0010079F,COLLEGE PRIVE SAINT JOSEPH,LYON,AIN,BOURG EN BRESSE,PR,109,"10,7"
0010080G,COLLEGE PRIVE JEANNE D'ARC,LYON,AIN,BOURG EN BRESSE,PR,79,"11,5"
0010082J,COLLEGE PRIVE SAINT PIERRE,LYON,AIN,BOURG EN BRESSE,PR,189,"13,2"
0010083K,COLLEGE PRIVE SAINT LOUIS,LYON,AIN,DAGNEUX,PR,171,"12,0"
0010084L,COLLEGE PRIVE SAINT CHARLES,LYON,AIN,CHATILLON SUR CHALARONNE,PR,35,"10,9"
0010086N,COLLEGE PRIVE SAINT CHARLES,LYON,AIN,FEILLENS,PR,103,"11,6"
0010088R,COLLEGE PRIVE JEANNE D'ARC,LYON,AIN,GEX,PR,196,"15,0"
0010089S,COLLEGE PRIVE SAINT PIERRE,LYON,AIN,MARBOZ,PR,22,"13,0"
0010092V,COLLEGE PRIVE SAINT JOSEPH,LYON,AIN,OYONNAX,PR,124,"12,2"
0010095Y,COLLEGE PRIVE SAINT JOSEPH,LYON,AIN,SAINT DIDIER SUR CHALARONNE,PR,134,"11,5"
0010097A,COLLEGE PRIVE LA SIDOINE,LYON,AIN,TREVOUX,PR,141,"12,6"
0010794H,COLLEGE DU VALROMEY,LYON,AIN,ARTEMARE,PU,76,"11,4"
0010796K,COLLEGE EMILE CIZAIN,LYON,AIN,MONTLUEL,PU,144,"12,0"
0010802S,COLLEGE AMPERE,LYON,AIN,OYONNAX,PU,148,"9,7"
0010820L,COLLEGE GEORGE SAND,LYON,AIN,PONT DE VEYLE,PU,109,"11,5"
0010821M,COLLEGE EUGENE DUBOIS,LYON,AIN,CHATILLON SUR CHALARONNE,PU,130,"11,4"
0010823P,COLLEGE DE BROU,LYON,AIN,BOURG EN BRESSE,PU,100,"11,3"
0010895T,COLLEGE DE L'HUPPE,LYON,AIN,MONTREVEL EN BRESSE,PU,152,"11,5"
0010896U,COLLEGE INTERNATIONAL,LYON,AIN,FERNEY VOLTAIRE,PU,254,"10,6"
0010938P,COLLEGE LES COTES,LYON,AIN,PERONNAS,PU,109,"11,8"
0010939R,COLLEGE LEON COMAS,LYON,AIN,VILLARS LES DOMBES,PU,132,"12,0"
0010964T,COLLEGE ANNE FRANK,LYON,AIN,MIRIBEL,PU,106,"12,7"
0010974D,COLLEGE VICTOIRE DAUBIE,LYON,AIN,BOURG EN BRESSE,PU,115,"10,3"
0010975E,COLLEGE JACQUES PREVERT,LYON,AIN,SAINT GENIS POUILLY,PU,153,"9,6"
0010987T,COLLEGE JEAN ROSTAND,LYON,AIN,ARBENT,PU,148,"10,4"
0011011U,COLLEGE MARCEL ANTHONIOZ,LYON,AIN,DIVONNE LES BAINS,PU,100,"11,3"
0011066D,COLLEGE LOUIS DUMONT,LYON,AIN,VALSERHONE,PU,118,"11,0"
0011067E,COLLEGE SABINE ZLATIN,LYON,AIN,BELLEY,PU,188,"10,5"
0011068F,COLLEGE XAVIER BICHAT,LYON,AIN,NANTUA,PU,70,"12,1"
0011070H,COLLEGE ANTOINE CHINTREUIL,LYON,AIN,PONT DE VAUX,PU,86,"12,0"
0011071J,COLLEGE LE GRAND CEDRE,LYON,AIN,COLIGNY,PU,90,"11,1"
0011142L,COLLEGE MARCEL AYME,LYON,AIN,DAGNEUX,PU,114,"11,9"
0011150V,COLLEGE PRIVE INSTITUTION SAINTE ANNE - LAMARTINE,LYON,AIN,BELLEY,PR,94,"12,9"
0011151W,COLLEGE PRIVE SAINT JOSEPH,LYON,AIN,MIRIBEL,PR,78,"12,6"
0011193S,COLLEGE LEON-MARIE FOURNET,LYON,AIN,JASSANS RIOTTIER,PU,96,"11,4"
0011257L,COLLEGE DE LA DOMBES,LYON,AIN,SAINT ANDRE DE CORCY,PU,106,"12,2"
0011275F,COLLEGE THOMAS RIBOUD,LYON,AIN,BOURG EN BRESSE,PU,125,"11,1"
0011300H,COLLEGE DE LA PLAINE DE L'AIN,LYON,AIN,LEYMENT,PU,149,"12,1"
0011301J,COLLEGE LE JORAN,LYON,AIN,PREVESSIN MOENS,PU,147,"11,3"
0011325K,COLLEGE THEODORE ROSSET,LYON,AIN,MONTREAL LA CLUSE,PU,136,"11,7"
0011333U,COLLEGE YVON MORANDAT,LYON,AIN,SAINT DENIS LES BOURG,PU,133,"11,0"
0011338Z,COLLEGE JEAN COMPAGNON,LYON,AIN,REYRIEUX,PU,156,"11,4"
0011360Y,COLLEGE LOUIS ARMSTRONG,LYON,AIN,BEYNOST,PU,129,"12,3"
0011387C,COLLEGE LUCIE AUBRAC,LYON,AIN,CEYZERIAT,PU,150,"13,1"
0011388D,COLLEGE LE PARUTHIOL,LYON,AIN,PERON,PU,164,"12,3"
0011415H,COLLEGE DU VAL DE SAONE,LYON,AIN,MONTCEAUX,PU,149,"11,5"
0011429Y,COLLEGE CHARTREUSE DE PORTES,LYON,AIN,BRIORD,PU,139,"10,6"
0020002S,COLLEGE LOUIS SANDRAS,AMIENS,AISNE,ANIZY LE GRAND,PU,116,"11,7"
0020004U,COLLEGE JOSQUIN DES PRES,AMIENS,AISNE,BEAUREVOIR,PU,62,"10,9"
0020007X,COLLEGE HENRI MATISSE,AMIENS,AISNE,BOHAIN EN VERMANDOIS,PU,72,"7,7"
0020009Z,COLLEGE PIERRE ET MARIE CURIE,AMIENS,AISNE,BRAINE,PU,111,"9,7"
0020011B,COLLEGE FRANCOIS TRUFFAUT,AMIENS,AISNE,CHARLY SUR MARNE,PU,180,"10,1"
0020015F,COLLEGE JACQUES CARTIER,AMIENS,AISNE,CHAUNY,PU,97,"11,6"
0020016G,COLLEGE DE LA FAYE,AMIENS,AISNE,CONDE EN BRIE,PU,82,"9,1"
0020017H,COLLEGE LEOPOLD SENGHOR,AMIENS,AISNE,CORBENY,PU,93,"10,8"
0020018J,COLLEGE LEON DROUSSENT,AMIENS,AISNE,COUCY LE CHATEAU AUFFRIQUE,PU,90,"9,5"
0020024R,COLLEGE ANNE DE MONTMORENCY,AMIENS,AISNE,FERE EN TARDENOIS,PU,129,"9,5"
0020029W,COLLEGE ALEXANDRE DUMAS,AMIENS,AISNE,VILLENEUVE SUR AISNE,PU,69,"11,1"
0020030X,COLLEGE CAMILLE DESMOULINS,AMIENS,AISNE,GUISE,PU,64,"8,7"
0020037E,COLLEGE SUZANNE DEUTSCH DE LA MEURTHE,AMIENS,AISNE,MOY DE L AISNE,PU,87,"12,0"
0020038F,COLLEGE JOSEPH BOURY,AMIENS,AISNE,NEUILLY ST FRONT,PU,90,"9,3"
0020039G,COLLEGE COLBERT QUENTIN,AMIENS,AISNE,LE NOUVION EN THIERACHE,PU,68,"11,0"
0020043L,COLLEGE JULES FERRY,AMIENS,AISNE,ROZOY SUR SERRE,PU,39,"11,2"
0020044M,COLLEGE QUENTIN DE LA TOUR,AMIENS,AISNE,SAINS RICHAUMONT,PU,37,"9,8"
0020046P,COLLEGE DE LA CHESNOYE,AMIENS,AISNE,SAINT GOBAIN,PU,62,"10,1"
0020054Y,COLLEGE MONTAIGNE,AMIENS,AISNE,SAINT QUENTIN,PU,68,"8,9"
0020055Z,COLLEGE GABRIEL HANOTAUX,AMIENS,AISNE,SAINT QUENTIN,PU,66,"10,8"
0020056A,COLLEGE MARTHE LEFEVRE,AMIENS,AISNE,SAINT QUENTIN,PU,61,"8,9"
0020063H,COLLEGE JOLIOT CURIE,AMIENS,AISNE,TERGNIER,PU,132,"9,9"
0020065K,COLLEGE ALAN SEEGER,AMIENS,AISNE,VAILLY SUR AISNE,PU,49,"10,4"
0020066L,COLLEGE MARCEL PAGNOL,AMIENS,AISNE,VERMAND,PU,103,"11,7"
0020067M,COLLEGE CONDORCET,AMIENS,AISNE,VERVINS,PU,82,"11,4"
0020072T,COLLEGE SIMONE VEIL,AMIENS,AISNE,WASSIGNY,PU,45,"11,6"
0020075W,COLLEGE GEORGES COBAST,AMIENS,AISNE,HIRSON,PU,82,"10,4"
0020076X,COLLEGE JEAN MOULIN,AMIENS,AISNE,SAINT QUENTIN,PU,60,"8,1"
0020080B,COLLEGE PIERRE DE LA RAMEE,AMIENS,AISNE,SAINT QUENTIN,PU,129,"10,2"
0020090M,COLLEGE CHARLEMAGNE,AMIENS,AISNE,LAON,PU,138,"9,1"
0020468Y,COLLEGE PRIVE SAINT JOSEPH,AMIENS,AISNE,CHATEAU THIERRY,PR,64,"12,4"
0020469Z,COLLEGE PRIVE SAINT CHARLES,AMIENS,AISNE,CHAUNY,PR,52,"11,7"
0020470A,COLLEGE PRIVE SAINT JOSEPH,AMIENS,AISNE,FONTAINE LES VERVINS,PR,38,"12,7"
0020471B,COLLEGE PRIVE LA PROVIDENCE,AMIENS,AISNE,LAON,PR,44,"11,5"
0020472C,COLLEGE PRIVE NOTRE DAME DE LIESSE,AMIENS,AISNE,LIESSE NOTRE DAME,PR,24,"13,3"
0020473D,COLLEGE PRIVE ST JEAN LA CROIX,AMIENS,AISNE,SAINT QUENTIN,PR,185,"12,9"
0020483P,COLLEGE PRIVE JEANNE D ARC,AMIENS,AISNE,GUISE,PR,26,"11,1"
0020484R,COLLEGE PRIVE DE L ENFANT JESUS,AMIENS,AISNE,HIRSON,PR,32,"12,3"
0021489H,COLLEGE CHARLES DE GAULLE,AMIENS,AISNE,MONTCORNET,PU,41,"9,6"
0021490J,COLLEGE LOUISE MICHEL,AMIENS,AISNE,VILLENEUVE ST GERMAIN,PU,75,"10,4"
0021491K,COLLEGE MAURICE WAJSFELNER,AMIENS,AISNE,CUFFIES,PU,76,"11,3"
0021492L,COLLEGE GERARD PHILIPE,AMIENS,AISNE,SOISSONS,PU,94,"7,6"
0021493M,COLLEGE VICTOR HUGO,AMIENS,AISNE,CHAUNY,PU,93,"9,1"
0021494N,COLLEGE PAUL ELUARD,AMIENS,AISNE,GAUCHY,PU,96,"9,2"
0021518P,COLLEGE MARIE DE LUXEMBOURG,AMIENS,AISNE,LA FERE,PU,84,"10,3"
0021525X,COLLEGE PRIVE SAINT PAUL,AMIENS,AISNE,SOISSONS,PR,177,"12,7"
0021534G,COLLEGE ANNE FRANK,AMIENS,AISNE,HARLY,PU,108,"10,5"
0021535H,COLLEGE LAMARTINE,AMIENS,AISNE,SOISSONS,PU,78,"11,4"
0021593W,COLLEGE JACQUES PREVERT,AMIENS,AISNE,FLAVY LE MARTEL,PU,98,"10,4"
0021595Y,COLLEGE PIERRE SELLIER,AMIENS,AISNE,LA CAPELLE,PU,59,"10,1"
0021598B,COLLEGE JEAN MERMOZ,AMIENS,AISNE,LAON,PU,138,"10,0"
0021659T,COLLEGE JEAN MERMOZ,AMIENS,AISNE,BELLEU,PU,123,"10,3"
0021661V,COLLEGE VILLARD DE HONNECOURT,AMIENS,AISNE,FRESNOY LE GRAND,PU,93,"10,6"
0021663X,COLLEGE CESAR SAVART,AMIENS,AISNE,SAINT MICHEL,PU,37,"10,4"
0021685W,COLLEGE LES FRERES LE NAIN,AMIENS,AISNE,LAON,PU,147,"10,9"
0021686X,COLLEGE FROEHLICHER,AMIENS,AISNE,SISSONNE,PU,101,"9,9"
0021688Z,COLLEGE MAX DUSSUCHAL,AMIENS,AISNE,VILLERS COTTERETS,PU,120,"8,8"
0021689A,COLLEGE ANTOINE NICOLAS DE CONDORCET,AMIENS,AISNE,RIBEMONT,PU,70,"9,6"
0021691C,COLLEGE SAINT JUST,AMIENS,AISNE,SOISSONS,PU,112,"10,8"
0021721K,COLLEGE CHARLES BRAZIER,AMIENS,AISNE,CRECY SUR SERRE,PU,87,"10,3"
0021722L,COLLEGE LA FEUILLADE,AMIENS,AISNE,VIC SUR AISNE,PU,100,"9,8"
0021724N,COLLEGE JEAN RACINE,AMIENS,AISNE,CHATEAU THIERRY,PU,135,"9,9"
0021778X,COLLEGE JACQUES PREVERT,AMIENS,AISNE,MARLE,PU,45,"10,1"
0021823W,COLLEGE HENRI MARTIN,AMIENS,AISNE,SAINT QUENTIN,PU,105,"8,2"
0021826Z,COLLEGE JEAN ROSTAND,AMIENS,AISNE,CHATEAU THIERRY,PU,170,"9,8"
0021989B,COLLEGE FRANCOIS 1ER,AMIENS,AISNE,VILLERS COTTERETS,PU,102,"10,1"
0022113L,COLLEGE PRIVE PERE JOSEPH WRESINSKI,AMIENS,AISNE,TERGNIER,PR,20,"10,1"
0022131F,COLLEGE PRIVE SAINT ANTOINE,AMIENS,AISNE,BOHAIN EN VERMANDOIS,PR,28,"11,6"
0030001K,COLLEGE JEAN BAPTISTE DESFILHES,CLERMONT-FERRAND,ALLIER,BELLENAVES,PU,61,"11,0"
0030002L,COLLEGE JEAN ROSTAND,CLERMONT-FERRAND,ALLIER,BELLERIVE SUR ALLIER,PU,103,"10,0"
0030004N,COLLEGE ACHILLE ALLIER,CLERMONT-FERRAND,ALLIER,BOURBON L ARCHAMBAULT,PU,64,"11,3"
0030005P,COLLEGE FRANCOIS PERON,CLERMONT-FERRAND,ALLIER,CERILLY,PU,25,"7,9"
0030009U,COLLEGE EMILE GUILLAUMIN,CLERMONT-FERRAND,ALLIER,COSNE D ALLIER,PU,55,"9,3"
0030010V,COLLEGE MAURICE CONSTANTIN WEYER,CLERMONT-FERRAND,ALLIER,CUSSET,PU,147,"10,0"
0030013Y,COLLEGE LOUIS PERGAUD,CLERMONT-FERRAND,ALLIER,DOMPIERRE SUR BESBRE,PU,72,"10,8"
0030014Z,COLLEGE VICTOR HUGO,CLERMONT-FERRAND,ALLIER,LE DONJON,PU,29,"10,0"
0030015A,COLLEGE FERDINAND DUBREUIL,CLERMONT-FERRAND,ALLIER,DOYET,PU,30,"11,6"
0030017C,COLLEGE JOSEPH HENNEQUIN,CLERMONT-FERRAND,ALLIER,GANNAT,PU,103,"11,1"
0030018D,COLLEGE GEORGE SAND,CLERMONT-FERRAND,ALLIER,HURIEL,PU,67,"10,3"
0030019E,COLLEGE DES CHENEVIERES,CLERMONT-FERRAND,ALLIER,JALIGNY SUR BESBRE,PU,23,"10,0"
0030021G,COLLEGE ANDRE BOUTRY,CLERMONT-FERRAND,ALLIER,LURCY LEVIS,PU,41,"9,0"
0030022H,COLLEGE DE LA COMBRAILLE,CLERMONT-FERRAND,ALLIER,MARCILLAT EN COMBRAILLE,PU,20,"11,7"
0030023J,COLLEGE ALICE ARTEIL,CLERMONT-FERRAND,ALLIER,LE MAYET DE MONTAGNE,PU,30,"11,6"
0030030S,COLLEGE JEAN ZAY,CLERMONT-FERRAND,ALLIER,MONTLUCON,PU,58,"8,3"
0030035X,COLLEGE JEANNE CLUZEL,CLERMONT-FERRAND,ALLIER,MONTMARAULT,PU,30,"11,3"
0030039B,COLLEGE CHARLES PEGUY,CLERMONT-FERRAND,ALLIER,MOULINS,PU,140,"10,7"
0030042E,COLLEGE FRANCOIS RABELAIS,CLERMONT-FERRAND,ALLIER,NERIS LES BAINS,PU,66,"12,8"
0030043F,COLLEGE JEAN DE LA FONTAINE,CLERMONT-FERRAND,ALLIER,SAINT GERMAIN DES FOSSES,PU,69,"10,0"
0030046J,COLLEGE CHARLOTTE DELBO,CLERMONT-FERRAND,ALLIER,TRONGET,PU,27,"10,8"
0030047K,COLLEGE ALAIN FOURNIER,CLERMONT-FERRAND,ALLIER,VALLON EN SULLY,PU,42,"10,4"
0030048L,COLLEGE ANTOINE DE ST EXUPERY,CLERMONT-FERRAND,ALLIER,VARENNES SUR ALLIER,PU,57,"10,1"
0030049M,COLLEGE LES CELESTINS,CLERMONT-FERRAND,ALLIER,VICHY,PU,80,"10,8"
0030050N,COLLEGE JULES FERRY,CLERMONT-FERRAND,ALLIER,VICHY,PU,99,"10,3"
0030062B,COLLEGE ANNE DE BEAUJEU,CLERMONT-FERRAND,ALLIER,MOULINS,PU,151,"10,8"
0030070K,COLLEGE PRIVE SAINT DOMINIQUE,CLERMONT-FERRAND,ALLIER,VICHY,PR,72,"12,2"
0030081X,COLLEGE PRIVE SAINT BENOIT,CLERMONT-FERRAND,ALLIER,MOULINS,PR,65,"12,1"
0030091H,COLLEGE JEAN-JACQUES SOULIER,CLERMONT-FERRAND,ALLIER,MONTLUCON,PU,117,"10,5"
0030092J,COLLEGE LUCIEN COLON,CLERMONT-FERRAND,ALLIER,LAPALISSE,PU,66,"10,7"
0030104X,COLLEGE PRIVE NOTRE DAME DES VICTOIRES,CLERMONT-FERRAND,ALLIER,SAINT POURCAIN SUR SIOULE,PR,25,"11,9"
0030119N,COLLEGE JULES VERNE,CLERMONT-FERRAND,ALLIER,MONTLUCON,PU,30,"11,4"
0030758H,COLLEGE JULES FERRY,CLERMONT-FERRAND,ALLIER,MONTLUCON,PU,102,"9,9"
0030837U,COLLEGE FRANCOIS VILLON,CLERMONT-FERRAND,ALLIER,YZEURE,PU,138,"10,7"
0030838V,COLLEGE EMILE GUILLAUMIN,CLERMONT-FERRAND,ALLIER,MOULINS,PU,85,"10,2"
0030860U,COLLEGE MARIE CURIE,CLERMONT-FERRAND,ALLIER,DESERTINES,PU,98,"10,2"
0030890B,COLLEGE EMILE MALE,CLERMONT-FERRAND,ALLIER,COMMENTRY,PU,85,"10,2"
0030892D,COLLEGE BLAISE DE VIGENERE,CLERMONT-FERRAND,ALLIER,SAINT POURCAIN SUR SIOULE,PU,97,"9,9"
0030956Y,COLLEGE LOUIS ARAGON,CLERMONT-FERRAND,ALLIER,DOMERAT,PU,58,"11,1"
0030979Y,COLLEGE PRIVE SAINT JOSEPH,CLERMONT-FERRAND,ALLIER,CUSSET,PR,144,"12,5"
0030980Z,COLLEGE PRIVE SAINTE PROCULE,CLERMONT-FERRAND,ALLIER,GANNAT,PR,24,"10,3"
0030981A,COLLEGE PRIVE SAINT-JOSEPH,CLERMONT-FERRAND,ALLIER,MONTLUCON,PR,66,"12,1"
0031010G,COLLEGE VICTOR HUGO,CLERMONT-FERRAND,ALLIER,SAINT YORRE,PU,68,"11,4"
0040001E,COLLEGE EMILE HONNORATY,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,ANNOT,PU,33,"10,9"
0040002F,COLLEGE PAYS DE BANON (DU),AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,BANON,PU,36,"10,7"
0040004H,COLLEGE VERDON (DU),AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,CASTELLANE,PU,33,"9,8"
0040013T,COLLEGE MONT D'OR (LE),AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,MANOSQUE,PU,61,"9,4"
0040017X,COLLEGE MAXIME JAVELLY,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,RIEZ,PU,63,"11,1"
0040019Z,COLLEGE RENE CASSIN,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,SAINT ANDRE LES ALPES,PU,46,"11,7"
0040021B,COLLEGE MARCEL ANDRE,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,SEYNE LES ALPES,PU,25,"11,5"
0040022C,COLLEGE GASSENDI,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,DIGNE LES BAINS,PU,117,"10,7"
0040044B,COLLEGE MARIA BORRELY,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,DIGNE LES BAINS,PU,73,"11,3"
0040051J,"COLLEGE J,M,G, ITARD (DOCTEUR)",AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,ORAISON,PU,112,"11,0"
0040052K,COLLEGE CAMILLE REYMOND,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,CHATEAU ARNOUX ST AUBAN,PU,136,"10,2"
0040055N,COLLEGE JEAN GIONO,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,MANOSQUE,PU,104,"9,1"
0040382U,COLLEGE HENRI LAUGIER,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,FORCALQUIER,PU,91,"11,7"
0040419J,COLLEGE ANDRE HONNORAT,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,BARCELONNETTE,PU,70,"9,7"
0040420K,COLLEGE PAUL ARENE,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,SISTERON,PU,139,"10,2"
0040461E,COLLEGE PRIVE LE SACRE COEUR,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,DIGNE LES BAINS,PR,53,"11,1"
0040462F,COLLEGE PRIVE ST CHARLES,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,MANOSQUE,PR,109,"13,2"
0040524Y,COLLEGE PIERRE GIRARDOT,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,SAINTE TULLE,PU,119,"11,2"
0040535K,COLLEGE ANDRE AILHAUD,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,VOLX,PU,104,"12,0"
0040587S,COLLEGE LYCEE COLLEGE ECOLE INTERNATIONALE PACA,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,MANOSQUE,PU,36,"14,1"
0050010J,COLLEGE CENTRE,AIX-MARSEILLE,HAUTES-ALPES,GAP,PU,135,"11,9"
0050013M,COLLEGE HAUTES VALLEES (DES),AIX-MARSEILLE,HAUTES-ALPES,GUILLESTRE,PU,74,"11,4"
0050019U,COLLEGE VIVIAN MAIER,AIX-MARSEILLE,HAUTES-ALPES,SAINT BONNET EN CHAMPSAUR,PU,107,"12,0"
0050022X,COLLEGE FRANCOIS MITTERRAND,AIX-MARSEILLE,HAUTES-ALPES,VEYNES,PU,66,"9,5"
0050023Y,COLLEGE ECRINS (LES),AIX-MARSEILLE,HAUTES-ALPES,EMBRUN,PU,121,"12,2"
0050025A,COLLEGE MAUZAN,AIX-MARSEILLE,HAUTES-ALPES,GAP,PU,126,"12,0"
0050043V,COLLEGE VAUBAN,AIX-MARSEILLE,HAUTES-ALPES,BRIANCON,PU,131,"12,3"
0050409T,COLLEGE GIRAUDES (LES),AIX-MARSEILLE,HAUTES-ALPES,L ARGENTIERE LA BESSEE,PU,61,"12,4"
0050452P,COLLEGE HAUTS DE PLAINE (LES),AIX-MARSEILLE,HAUTES-ALPES,LARAGNE MONTEGLIN,PU,71,"11,5"
0050480V,COLLEGE FONTREYNE (DE),AIX-MARSEILLE,HAUTES-ALPES,GAP,PU,140,"12,0"
0050519M,COLLEGE GARCINS (LES),AIX-MARSEILLE,HAUTES-ALPES,BRIANCON,PU,87,"12,4"
0050520N,COLLEGE ALEXANDRE CORREARD,AIX-MARSEILLE,HAUTES-ALPES,SERRES,PU,38,"11,3"
0050562J,COLLEGE PRIVE ST JOSEPH,AIX-MARSEILLE,HAUTES-ALPES,GAP,PR,130,"13,0"
0050638S,COLLEGE MARIE MARVINGT,AIX-MARSEILLE,HAUTES-ALPES,TALLARD,PU,76,"11,5"
0050639T,COLLEGE SIMONE VEIL,AIX-MARSEILLE,HAUTES-ALPES,LA BATIE NEUVE,PU,84,"12,5"
0060008B,COLLEGE L'EAU VIVE,NICE,ALPES-MARITIMES,BREIL SUR ROYA,PU,24,"10,5"
0060019N,"COLLEGE VALLEES DU PAILLON - R, CARLES",NICE,ALPES-MARITIMES,CONTES,PU,157,"9,7"
0060021R,COLLEGE SAINT HILAIRE,NICE,ALPES-MARITIMES,GRASSE,PU,101,"10,6"
0060032C,COLLEGE SEGURANE,NICE,ALPES-MARITIMES,NICE,PU,143,"9,7"
0060045S,COLLEGE ANTOINE RISSO,NICE,ALPES-MARITIMES,NICE,PU,81,"9,0"
0060048V,COLLEGE RAOUL DUFY,NICE,ALPES-MARITIMES,NICE,PU,221,"10,9"
0060050X,COLLEGE VALERI,NICE,ALPES-MARITIMES,NICE,PU,154,"10,5"
0060061J,COLLEGE AUGUSTE BLANQUI,NICE,ALPES-MARITIMES,PUGET THENIERS,PU,44,"10,2"
0060063L,COLLEGE JEAN FRANCO,NICE,ALPES-MARITIMES,SAINT ETIENNE DE TINEE,PU,48,"11,9"
0060066P,COLLEGE SAINT-BLAISE,NICE,ALPES-MARITIMES,SAINT SAUVEUR SUR TINEE,PU,38,"10,5"
0060067R,COLLEGE JEAN MEDECIN,NICE,ALPES-MARITIMES,SOSPEL,PU,46,"9,8"
0060068S,COLLEGE RENE CASSIN,NICE,ALPES-MARITIMES,TOURRETTE LEVENS,PU,154,"11,0"
0060076A,COLLEGE ROUSTAN,NICE,ALPES-MARITIMES,ANTIBES,PU,67,"9,7"
0060083H,COLLEGE FERSEN,NICE,ALPES-MARITIMES,ANTIBES,PU,119,"10,2"
0060084J,COLLEGE JEAN GIONO,NICE,ALPES-MARITIMES,NICE,PU,123,"9,4"
0060085K,COLLEGE INTERNATIONAL JOSEPH VERNIER,NICE,ALPES-MARITIMES,NICE,PU,142,"9,5"
0060086L,COLLEGE ROLAND GARROS,NICE,ALPES-MARITIMES,NICE,PU,156,"10,3"
0060676C,COLLEGE PRIVE BLANCHE DE CASTILLE,NICE,ALPES-MARITIMES,NICE,PR,77,"14,4"
0060679F,COLLEGE PRIVE DON BOSCO,NICE,ALPES-MARITIMES,NICE,PR,124,"11,7"
0060681H,COLLEGE PRIVE SAINT JOSEPH,NICE,ALPES-MARITIMES,NICE,PR,71,"12,5"
0060720A,COLLEGE PRIVE SAINTE MARIE,NICE,ALPES-MARITIMES,CANNES,PR,150,"12,5"
0060744B,COLLEGE PRIVE NOTRE-DAME DU SACRE COEUR,NICE,ALPES-MARITIMES,MENTON,PR,77,"12,4"
0060745C,COLLEGE PRIVE NAZARETH,NICE,ALPES-MARITIMES,NICE,PR,71,"13,2"
0060753L,COLLEGE PRIVE DU COLOMBIER (STE THERESE),NICE,ALPES-MARITIMES,NICE,PR,88,"13,7"
0060795G,COLLEGE SIDNEY BECHET,NICE,ALPES-MARITIMES,ANTIBES,PU,89,"9,7"
0060799L,COLLEGE LES MURIERS,NICE,ALPES-MARITIMES,CANNES,PU,143,"9,2"
0060823M,COLLEGE PRIVE SAINT PHILIPPE NERI,NICE,ALPES-MARITIMES,ANTIBES,PR,47,"13,0"
