Académie,Département,Etablissement,Ville,UAI,Code commune,Secteur,Nombre d'élèves présents au Bac,Taux de réussite bruts TOTAL,Taux de mentions bruts,Effectifs à la rentrée N 2nde,Effectifs à la rentrée N 1ère,Effectifs à la rentrée N Term.
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.),BARCELONNETTE,0040003G,4019,PU,31,94,61,49,49,37
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE ALEXANDRA DAVID NEEL,DIGNE LES BAINS,0040027H,4070,PU,253,92,55,196,238,220
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE PIERRE-GILLES DE GENNES,DIGNE LES BAINS,0040490L,4070,PU,175,94,64,182,175,166
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE FELIX ESCLANGON,MANOSQUE,0040010P,4112,PU,313,92,59,318,337,331
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE LES ISCLES (GENERAL ET TECHNO.),MANOSQUE,0040533H,4112,PU,181,97,71,246,190,209
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE COLLEGE ECOLE INTERNATIONALE PACA,MANOSQUE,0040587S,4112,PU,38,100,87,81,69,68
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE PAUL ARENE (GENERAL ET TECHNO.),SISTERON,0040023D,4209,PU,118,96,65,132,135,131
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE EMILE ZOLA (GENERAL ET TECHNO.),AIX EN PROVENCE,0130001F,13001,PU,532,98,68,502,522,539
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE PAUL CEZANNE,AIX EN PROVENCE,0130002G,13001,PU,515,97,72,485,505,486
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE VAUVENARGUES (GENERAL ET TECHNO.),AIX EN PROVENCE,0130003H,13001,PU,415,98,73,387,369,422
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE NATIVITE (LA),AIX EN PROVENCE,0131319N,13001,PR,277,100,96,342,317,295
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE STE CATHERINE DE SIENNE,AIX EN PROVENCE,0131320P,13001,PR,57,100,74,85,66,73
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ST ELOI (GENERAL ET TECHNO.),AIX EN PROVENCE,0131391S,13001,PR,61,100,59,71,61,46
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE POILUS (BD DES),AIX EN PROVENCE,0131596P,13001,PU,150,100,85,157,154,145
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE SACRE COEUR (LE),AIX EN PROVENCE,0131862D,13001,PR,299,100,84,331,308,312
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE STE MARIE (GENERAL ET TECHNO.),AIX EN PROVENCE,0133395V,13001,PR,49,94,47,20,39,41
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE CELONY (GENERAL ET TECHNO.),AIX EN PROVENCE,0133425C,13001,PR,62,98,66,46,62,59
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE GEORGES DUBY,AIX EN PROVENCE,0133525L,13001,PU,495,98,78,504,510,466
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MONTE-CRISTO,ALLAUCH,0134253C,13002,PU,233,98,68,309,260,241
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MONTMAJOUR (GENERAL ET TECHNO.),ARLES,0130010R,13004,PU,213,96,62,191,236,228
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE PASQUET,ARLES,0130011S,13004,PU,292,93,60,288,197,291
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE FREDERIC JOLIOT-CURIE,AUBAGNE,0131549N,13005,PU,524,96,58,725,561,524
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE STE MARIE,AUBAGNE,0132810J,13005,PR,113,100,96,134,115,108
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE JEAN D'ORMESSON,CHATEAURENARD,0134252B,13027,PU,337,97,61,419,360,350
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MARIE MADELEINE FOURCADE (GENERAL ET TECHNO.),GARDANNE,0133244F,13041,PU,501,98,70,538,505,487
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE SAINT JEAN DE GARGUIER,GEMENOS,0133822J,13042,PR,147,100,79,172,125,135
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ST LOUIS - STE MARIE,GIGNAC LA NERTHE,0133314G,13043,PR,250,100,87,345,310,262
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ARTHUR RIMBAUD,ISTRES,0132495S,13047,PU,330,96,62,488,369,391
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE AUGUSTE ET LOUIS LUMIERE (GENERAL ET TECHNO.),LA CIOTAT,0131747D,13028,PU,296,97,70,296,296,304
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MEDITERRANEE (DE LA ) (GENERAL ET TECHNO.),LA CIOTAT,0133406G,13028,PU,268,100,83,269,266,291
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MAURICE GENEVOIX (GENERAL ET TECHNO.),MARIGNANE,0132410Z,13054,PU,344,92,56,357,365,331
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE SAINT CHARLES,MARSEILLE 01,0130039X,13201,PU,379,95,63,415,414,409
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE THIERS,MARSEILLE 01,0130040Y,13201,PU,251,99,80,312,254,255
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE VICTOR HUGO,MARSEILLE 03,0130043B,13203,PU,256,82,34,272,243,243
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE CHEVREUL BLANCARDE,MARSEILLE 04,0131335F,13204,PR,155,99,88,140,170,119
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ST JOSEPH DE LA MADELEINE,MARSEILLE 04,0131339K,13204,PR,124,99,85,134,145,120
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MARIE CURIE,MARSEILLE 05,0130051K,13205,PU,279,89,44,167,307,316
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ST CHARLES CAMAS,MARSEILLE 05,0131342N,13205,PR,65,100,89,80,53,52
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MONTGRAND,MARSEILLE 06,0130042A,13206,PU,228,94,60,304,252,238
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ST JOSEPH LES MARISTES,MARSEILLE 06,0131331B,13206,PR,111,99,78,108,134,110
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE NOTRE DAME DE FRANCE,MARSEILLE 06,0131333D,13206,PR,105,100,92,116,114,119
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE NOTRE DAME DE SION,MARSEILLE 06,0131341M,13206,PR,155,99,82,183,144,154
AIX-MARSEILLE,BOUCHES-DU-RHONE,COURS BASTIDE,MARSEILLE 06,0131344R,13206,PR,69,100,87,88,51,63
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE SULLY,MARSEILLE 06,0131398Z,13206,PR,23,100,39,6,20,22
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE CHARLES PEGUY (GENERAL ET TECHNO.),MARSEILLE 06,0131402D,13206,PR,81,95,49,35,101,88
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ST VINCENT DE PAUL (GENERAL ET TECHNO.),MARSEILLE 06,0131403E,13206,PR,98,97,44,82,91,76
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE DON BOSCO (GENERAL ET TECHNO.),MARSEILLE 06,0133396W,13206,PR,42,90,38,25,51,41
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE AMI,MARSEILLE 06,0133555U,13206,PR,50,100,50,54,51,78
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE REMPART (RUE DU) (GENERAL ET TECHNO.),MARSEILLE 07,0130049H,13207,PU,140,92,53,129,136,140
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE PERIER,MARSEILLE 08,0130036U,13208,PU,331,92,51,239,279,297
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MARSEILLEVEYRE,MARSEILLE 08,0130038W,13208,PU,362,98,70,409,342,342
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE HONORE DAUMIER,MARSEILLE 08,0130175V,13208,PU,297,98,62,279,270,251
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE PROVENCE (DE),MARSEILLE 08,0131323T,13208,PR,166,100,96,176,176,171
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE REGIONAL HOTELIER JEAN-PAUL PASSEDAT (GENERAL ET TECHNO.),MARSEILLE 08,0132974M,13208,PU,48,100,54,33,45,42
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE STE TRINITE,MARSEILLE 09,0131347U,13209,PR,81,98,78,106,91,69
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE PASTRE - GRANDE BASTIDE (GENERAL ET TECHNO.),MARSEILLE 09,0131456M,13209,PR,64,98,80,67,75,64
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE GSBE,MARSEILLE 09,0134250Z,13209,PR,28,100,82,30,30,25
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MARCEL PAGNOL,MARSEILLE 10,0130037V,13210,PU,221,90,37,199,203,200
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE JEAN PERRIN (GENERAL ET TECHNO.),MARSEILLE 10,0130053M,13210,PU,320,90,46,328,334,341
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ORT LEON BRAMSON,MARSEILLE 10,0133334D,13210,PR,48,100,54,29,43,45
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE MELIZAN,MARSEILLE 11,0131328Y,13211,PR,187,100,84,178,178,173
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE L'OLIVIER - ROBERT COFFY,MARSEILLE 12,0131345S,13212,PR,132,100,83,141,117,127
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE LA CADENELLE (GENERAL ET TECHNO.),MARSEILLE 12,0132828D,13212,PR,51,98,45,51,61,43
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE REGIONAL NELSON MANDELA (GENERAL ET TECHNO.),MARSEILLE 12,0134003F,13212,PU,308,95,57,385,297,294
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE DENIS DIDEROT (GENERAL ET TECHNO.),MARSEILLE 13,0130050J,13213,PU,291,89,41,219,288,288
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE LACORDAIRE,MARSEILLE 13,0131324U,13213,PR,223,100,100,252,229,229
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE SEVIGNE,MARSEILLE 13,0131348V,13213,PR,135,100,88,157,155,144
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE YAVNE,MARSEILLE 13,0132472S,13213,PR,41,95,56,36,33,37
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ANTONIN ARTAUD (GENERAL ET TECHNO.),MARSEILLE 13,0132733A,13213,PU,319,91,49,297,365,323
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE SIMONE VEIL (GENERAL ET TECHNO.),MARSEILLE 13,0134155W,13213,PU,252,96,54,266,231,246
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE TOUR SAINTE (DE),MARSEILLE 14,0131327X,13214,PR,41,98,68,66,53,44
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE SAINT EXUPERY,MARSEILLE 15,0130048G,13215,PU,486,83,33,495,457,496
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE NOTRE DAME DE LA VISTE,MARSEILLE 15,0133931C,13215,PR,54,100,78,60,51,43
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.),MARTIGUES,0130143K,13056,PU,386,97,55,389,388,383
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE POLYVALENT JEAN LURCAT (GENERAL ET TECHNO.),MARTIGUES,0132210G,13056,PU,267,96,62,280,245,270
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE JEAN COCTEAU,MIRAMAS,0133195C,13063,PU,240,94,50,313,247,235
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE HENRI LEROY (GENERAL ET TECHNO.),PORT SAINT LOUIS DU RHONE,0132280H,13078,PR,51,94,47,62,45,51
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE SAINT CHARLES,SAINT MARTIN DE CRAU,0134004G,13097,PR,67,97,81,114,102,62
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE EMPERI (L'),SALON DE PROVENCE,0130160D,13103,PU,395,97,56,416,401,369
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ADAM DE CRAPONNE (GENERAL ET TECHNO.),SALON DE PROVENCE,0130161E,13103,PU,489,97,70,473,462,466
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE VIALA LACOSTE,SALON DE PROVENCE,0131360H,13103,PR,204,100,87,236,200,204
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ALPHONSE DAUDET,TARASCON,0130164H,13108,PU,264,94,58,296,266,269
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE PIERRE MENDES FRANCE (GENERAL ET TECHNO.),VITROLLES,0133015G,13117,PU,341,95,64,379,417,346
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE JEAN MONNET (GENERAL ET TECHNO.),VITROLLES,0133288D,13117,PU,286,93,57,274,247,243
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE CAUCADIS (GENERAL ET TECHNO.),VITROLLES,0133424B,13117,PR,31,94,32,28,33,32
AIX-MARSEILLE,HAUTES-ALPES,LYCEE ALTITUDE-SUZANNE JOULIE ROOS (GENERAL ET TECHNO.),BRIANCON,0050003B,5023,PU,206,97,76,213,220,211
AIX-MARSEILLE,HAUTES-ALPES,LYCEE HONORE ROMANE,EMBRUN,0050004C,5046,PU,129,94,57,157,160,137
AIX-MARSEILLE,HAUTES-ALPES,LYCEE DOMINIQUE VILLARS,GAP,0050006E,5061,PU,208,98,71,228,189,162
AIX-MARSEILLE,HAUTES-ALPES,LYCEE ARISTIDE BRIAND,GAP,0050007F,5061,PU,328,99,72,324,297,338
AIX-MARSEILLE,HAUTES-ALPES,LYCEE ST JOSEPH,GAP,0050035L,5061,PR,95,99,88,115,97,73
AIX-MARSEILLE,VAUCLUSE,LYCEE CHARLES DE GAULLE (PLACE) (GENERAL ET TECHNO.),APT,0840001V,84003,PU,161,90,52,166,166,163
AIX-MARSEILLE,VAUCLUSE,LYCEE FREDERIC MISTRAL,AVIGNON,0840003X,84007,PU,285,97,68,361,313,280
AIX-MARSEILLE,VAUCLUSE,LYCEE THEODORE AUBANEL,AVIGNON,0840004Y,84007,PU,385,90,50,338,360,398
AIX-MARSEILLE,VAUCLUSE,LYCEE PHILIPPE DE GIRARD (GENERAL ET TECHNO.),AVIGNON,0840005Z,84007,PU,169,85,33,147,193,174
AIX-MARSEILLE,VAUCLUSE,LYCEE LOUIS PASTEUR,AVIGNON,0840059H,84007,PR,267,98,76,224,291,262
AIX-MARSEILLE,VAUCLUSE,LYCEE ST JOSEPH,AVIGNON,0840072X,84007,PR,339,98,78,339,335,326
AIX-MARSEILLE,VAUCLUSE,LYCEE RENE CHAR (GENERAL ET TECHNO.),AVIGNON,0840935K,84007,PU,334,93,54,321,328,360
AIX-MARSEILLE,VAUCLUSE,LYCEE ST JEAN BAPTISTE DE LA SALLE (GENERAL ET TECHNO.),AVIGNON,0840940R,84007,PR,68,100,60,158,83,95
AIX-MARSEILLE,VAUCLUSE,LYCEE LUCIE AUBRAC,BOLLENE,0841093G,84019,PU,203,96,67,262,209,223
AIX-MARSEILLE,VAUCLUSE,LYCEE JEAN HENRI FABRE (GENERAL ET TECHNO.),CARPENTRAS,0840015K,84031,PU,266,95,56,270,255,234
AIX-MARSEILLE,VAUCLUSE,LYCEE VICTOR HUGO (GENERAL ET TECHNO.),CARPENTRAS,0840016L,84031,PU,367,95,57,267,356,304
AIX-MARSEILLE,VAUCLUSE,LYCEE MARIE PILA,CARPENTRAS,0840078D,84031,PR,168,99,80,238,201,163
AIX-MARSEILLE,VAUCLUSE,LYCEE ISMAEL DAUPHIN,CAVAILLON,0840017M,84035,PU,350,96,59,375,395,375
AIX-MARSEILLE,VAUCLUSE,LYCEE ALPHONSE BENOIT (GENERAL ET TECHNO.),L ISLE SUR LA SORGUE,0840021S,84054,PU,265,97,70,291,255,249
AIX-MARSEILLE,VAUCLUSE,LYCEE ARC (DE L'),ORANGE,0840026X,84087,PU,371,95,58,423,381,399
AIX-MARSEILLE,VAUCLUSE,LYCEE ST LOUIS,ORANGE,0840075A,84087,PR,95,100,76,142,110,110
AIX-MARSEILLE,VAUCLUSE,LYCEE VAL DE DURANCE-HENRI SILVY (GENERAL ET TECHNO.),PERTUIS,0840918S,84089,PU,318,96,71,423,360,335
AIX-MARSEILLE,VAUCLUSE,LYCEE STEPHANE HESSEL,VAISON LA ROMAINE,0841117H,84137,PU,106,97,73,143,134,109
AMIENS,AISNE,LYCEE SAINTE SOPHIE,BOHAIN EN VERMANDOIS,0022022M,2095,PR,31,97,74,33,32,36
AMIENS,AISNE,LYCEE JEAN DE LA FONTAINE (GENERAL ET TECHNO.),CHATEAU THIERRY,0020012C,2168,PU,249,92,52,272,289,285
AMIENS,AISNE,LYCEE SAINT JOSEPH,CHATEAU THIERRY,0021869W,2168,PR,35,97,57,29,16,31
AMIENS,AISNE,LYCEE JULES VERNE (GENERAL ET TECHNO.),CHATEAU THIERRY,0021939X,2168,PU,147,97,59,150,127,111
AMIENS,AISNE,LYCEE GAY LUSSAC,CHAUNY,0020014E,2173,PU,433,94,56,416,395,384
AMIENS,AISNE,LYCEE SAINT CHARLES,CHAUNY,0021870X,2173,PR,21,100,67,30,31,28
AMIENS,AISNE,LYCEE SAINT JOSEPH,FONTAINE LES VERVINS,0021871Y,2321,PR,49,100,86,66,69,55
AMIENS,AISNE,LYCEE FREDERIC ET IRENE JOLIOT CURIE,HIRSON,0020031Y,2381,PU,185,92,57,180,171,184
AMIENS,AISNE,LYCEE PAUL CLAUDEL,LAON,0020032Z,2408,PU,347,93,50,328,381,358
AMIENS,AISNE,LYCEE PIERRE MECHAIN (GENERAL ET TECHNO.),LAON,0020034B,2408,PU,151,97,70,226,145,163
AMIENS,AISNE,LYCEE LA PROVIDENCE,LAON,0021872Z,2408,PR,49,94,47,39,37,39
AMIENS,AISNE,LYCEE HENRI MARTIN,SAINT QUENTIN,0020048S,2691,PU,253,95,52,257,214,244
AMIENS,AISNE,LYCEE PIERRE DE LA RAMEE,SAINT QUENTIN,0020049T,2691,PU,262,94,48,308,294,268
AMIENS,AISNE,LYCEE CONDORCET,SAINT QUENTIN,0020050U,2691,PU,240,86,40,249,227,235
AMIENS,AISNE,LYCEE ST JEAN LA CROIX,SAINT QUENTIN,0021873A,2691,PR,161,99,73,171,181,159
AMIENS,AISNE,LYCEE GERARD DE NERVAL,SOISSONS,0020059D,2722,PU,297,94,50,311,311,318
AMIENS,AISNE,LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),SOISSONS,0021476U,2722,PU,132,87,45,164,129,130
AMIENS,AISNE,LYCEE SAINT REMY,SOISSONS,0021874B,2722,PR,150,95,59,126,108,148
AMIENS,AISNE,LYCEE ST VINCENT DE PAUL,SOISSONS,0022108F,2722,PR,27,100,67,46,43,33
AMIENS,AISNE,LYCEE EUROPEEN,VILLERS COTTERETS,0021946E,2810,PU,172,98,70,233,180,181
AMIENS,OISE,LYCEE FELIX FAURE,BEAUVAIS,0600001A,60057,PU,405,99,72,453,391,414
AMIENS,OISE,LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.),BEAUVAIS,0600002B,60057,PU,336,85,41,376,347,383
AMIENS,OISE,LYCEE SAINT ESPRIT,BEAUVAIS,0601699W,60057,PR,245,99,75,276,209,254
AMIENS,OISE,LYCEE FRANCOIS TRUFFAUT,BEAUVAIS,0601823F,60057,PU,365,94,49,216,355,326
AMIENS,OISE,LYCEE JEANNE HACHETTE,BEAUVAIS,0601824G,60057,PU,353,95,56,328,304,298
AMIENS,OISE,LYCEE ST VINCENT DE PAUL,BEAUVAIS,0601950U,60057,PR,25,92,40,19,19,22
AMIENS,OISE,LYCEE JEAN ROSTAND,CHANTILLY,0600009J,60141,PU,385,95,59,404,358,379
AMIENS,OISE,LYCEE CASSINI,CLERMONT,0600013N,60157,PU,451,97,59,545,468,443
AMIENS,OISE,LYCEE PIERRE D AILLY,COMPIEGNE,0600014P,60159,PU,397,93,66,447,420,412
AMIENS,OISE,LYCEE MIREILLE GRENET,COMPIEGNE,0600015R,60159,PU,342,87,42,338,360,363
AMIENS,OISE,LYCEE SEVIGNE,COMPIEGNE,0601700X,60159,PR,49,92,59,34,40,48
AMIENS,OISE,LYCEE JEAN-PAUL II,COMPIEGNE,0601701Y,60159,PR,286,98,71,300,250,298
AMIENS,OISE,LYCEE CHARLES DE GAULLE (GENERAL ET TECHNO.),COMPIEGNE,0601863Z,60159,PU,227,91,53,246,244,224
AMIENS,OISE,LYCEE JULES UHRY,CREIL,0600021X,60175,PU,367,81,37,311,388,396
AMIENS,OISE,LYCEE JEAN MONNET,CREPY EN VALOIS,0601832R,60176,PU,369,96,61,398,322,384
AMIENS,OISE,LYCEE CONDORCET,MERU,0601865B,60395,PU,298,87,42,338,328,282
AMIENS,OISE,LYCEE ANDRE MALRAUX,MONTATAIRE,0601864A,60414,PU,221,90,45,213,239,227
AMIENS,OISE,LYCEE SAINT DOMINIQUE,MORTEFONTAINE,0602070Z,60432,PR,160,100,86,187,177,159
AMIENS,OISE,LYCEE MARIE CURIE,NOGENT SUR OISE,0600020W,60463,PU,514,89,48,518,474,472
AMIENS,OISE,LYCEE JEAN CALVIN,NOYON,0600040T,60471,PU,344,93,49,348,345,318
AMIENS,OISE,LYCEE ST JOSEPH DU MONCEL,PONT SAINTE MAXENCE,0601831P,60509,PR,124,99,79,154,125,119
AMIENS,OISE,LYCEE SAINT VINCENT,SENLIS,0601149Y,60612,PR,250,99,77,273,263,245
AMIENS,OISE,LYCEE HUGUES CAPET,SENLIS,0601826J,60612,PU,243,93,56,226,221,245
AMIENS,SOMME,LYCEE BOUCHER DE PERTHES,ABBEVILLE,0800001S,80001,PU,355,95,61,368,366,385
AMIENS,SOMME,LYCEE SAINT PIERRE,ABBEVILLE,0801206B,80001,PR,96,100,67,102,62,88
AMIENS,SOMME,LYCEE LAMARCK (GENERAL ET TECHNO.),ALBERT,0800007Y,80016,PU,143,94,67,140,151,126
AMIENS,SOMME,LYCEE LOUIS THUILLIER,AMIENS,0800009A,80021,PU,341,95,61,364,327,340
AMIENS,SOMME,LYCEE MADELEINE MICHELIS,AMIENS,0800010B,80021,PU,281,96,65,348,286,294
AMIENS,SOMME,LYCEE EDOUARD GAND,AMIENS,0800011C,80021,PU,161,87,30,0,174,160
AMIENS,SOMME,LYCEE SACRE COEUR,AMIENS,0801207C,80021,PR,193,98,68,215,204,187
AMIENS,SOMME,LYCEE SAINTE FAMILLE,AMIENS,0801209E,80021,PR,258,100,88,292,299,252
AMIENS,SOMME,LYCEE EDOUARD BRANLY,AMIENS,0801327H,80021,PU,159,89,48,221,195,193
AMIENS,SOMME,LYCEE SAINT REMI,AMIENS,0801479Y,80021,PR,163,92,34,76,135,129
AMIENS,SOMME,LYCEE JEAN BAPTISTE DELAMBRE (GENERAL ET TECHNO.),AMIENS,0801700N,80021,PU,152,82,40,183,176,200
AMIENS,SOMME,LYCEE LA PROVIDENCE,AMIENS,0801742J,80021,PR,144,95,56,113,123,102
AMIENS,SOMME,LYCEE ROBERT DE LUZARCHES,AMIENS,0801841S,80021,PU,306,92,59,342,352,309
AMIENS,SOMME,LYCEE SAINT RIQUIER,AMIENS,0801874C,80021,PR,135,99,79,168,149,128
AMIENS,SOMME,LYCEE LA HOTOIE (GENERAL ET TECHNO.),AMIENS,0801882L,80021,PU,243,90,45,261,286,285
AMIENS,SOMME,LYCEE MONTALEMBERT,DOULLENS,0801743K,80253,PR,30,97,77,28,27,27
AMIENS,SOMME,LYCEE DE L'AUTHIE (GENERAL ET TECHNO.),DOULLENS,0801900F,80253,PU,143,97,53,185,144,143
AMIENS,SOMME,LYCEE DU VIMEU (GENERAL ET TECHNO.),FRIVILLE ESCARBOTIN,0801864S,80368,PU,206,94,58,168,177,165
AMIENS,SOMME,LYCEE JEAN RACINE (GENERAL ET TECHNO.),MONTDIDIER,0801853E,80561,PU,239,93,40,246,256,211
AMIENS,SOMME,LYCEE PIERRE MENDES FRANCE,PERONNE,0800046R,80620,PU,178,93,46,177,191,162
AMIENS,SOMME,LYCEE SACRE COEUR,PERONNE,0801226Y,80620,PR,42,100,71,69,48,37
BESANCON,DOUBS,LYCEE VICTOR HUGO,BESANCON,0250007X,25056,PU,284,91,57,328,320,315
BESANCON,DOUBS,LYCEE LOUIS PASTEUR,BESANCON,0250008Y,25056,PU,373,95,68,381,352,380
BESANCON,DOUBS,LYCEE LOUIS PERGAUD,BESANCON,0250010A,25056,PU,598,95,59,450,493,512
BESANCON,DOUBS,LYCEE JULES HAAG (GENERAL ET TECHNO.),BESANCON,0250011B,25056,PU,381,96,59,396,392,418
BESANCON,DOUBS,LYCEE SAINT PAUL,BESANCON,0251021Z,25056,PR,156,99,72,159,163,136
BESANCON,DOUBS,INSTITUTION NOTRE DAME SAINT JEAN - LYCEE,BESANCON,0251028G,25056,PR,273,99,72,274,272,258
BESANCON,DOUBS,LYCEE CLAUDE NICOLAS LEDOUX (GENERAL ET TECHNO.),BESANCON,0251711Z,25056,PU,232,98,66,257,234,226
BESANCON,DOUBS,LYCEE GEORGES CUVIER,MONTBELIARD,0250030X,25388,PU,328,93,52,392,323,313
BESANCON,DOUBS,LYCEE GERMAINE TILLION (GENERAL ET TECHNO.),MONTBELIARD,0251994G,25388,PU,478,88,41,416,460,495
BESANCON,DOUBS,LYCEE EDGAR FAURE (GENERAL ET TECHNO.),MORTEAU,0251671F,25411,PU,233,96,61,289,220,205
BESANCON,DOUBS,LYCEE XAVIER MARMIER (GENERAL ET TECHNO.),PONTARLIER,0250043L,25462,PU,380,97,61,439,425,377
BESANCON,DOUBS,LYCEE LES AUGUSTINS,PONTARLIER,0251024C,25462,PR,96,100,88,110,103,110
BESANCON,DOUBS,LYCEE ARMAND PEUGEOT,VALENTIGNEY,0250058C,25580,PU,271,92,54,282,218,279
BESANCON,HAUTE-SAONE,LYCEE AUGUSTIN COURNOT (GENERAL ET TECHNO.),GRAY,0700009E,70279,PU,210,91,50,195,168,168
BESANCON,HAUTE-SAONE,LYCEE LOUIS ARAGON (GENERAL ET TECHNO.),HERICOURT,0701035V,70285,PU,147,97,69,127,117,116
BESANCON,HAUTE-SAONE,LYCEE GEORGES COLOMB (GENERAL ET TECHNO.),LURE,0700018P,70310,PU,245,95,59,229,221,233
BESANCON,HAUTE-SAONE,LYCEE LUMIERE (GENERAL ET TECHNO.),LUXEUIL LES BAINS,0701078S,70311,PU,181,84,49,206,158,189
BESANCON,HAUTE-SAONE,LYCEE EDOUARD BELIN (GENERAL ET TECHNO.),VESOUL,0700905D,70550,PU,271,96,63,269,278,273
